R:\DanSummers Files\Cytation\200922_183036_DWS121 bclxl NGF addback timecourse\200922_183036_Plate 1\,,,,,,,
n,filename,Area analyzed, TAA, FAA, IAA, degeneration index, obj
1476, D8_03_1_2_Texas Red_007.tif ,3968064,283311,111328,171983,0.393,0
1477, D8_03_1_2_Texas Red_008.tif ,3968064,245701,123765,121936,0.5037,0
1478, D8_03_1_2_Texas Red_009.tif ,3968064,207890,120252,87638,0.5784,0
1479, D8_03_1_2_Texas Red_010.tif ,3968064,212293,118546,93747,0.5584,0
1480, D8_03_1_2_Texas Red_011.tif ,3968064,182136,121552,60584,0.6674,0
1481, D8_03_1_2_Texas Red_012.tif ,3968064,176187,121666,54521,0.6906,0
1482, D8_03_1_2_Texas Red_013.tif ,3968064,175473,123937,51536,0.7063,0
1483, D8_03_1_3_Texas Red_001.tif ,3968064,361512,19677,341835,0.05443,0
1484, D8_03_1_3_Texas Red_002.tif ,3968064,379895,18256,361639,0.04806,0
1485, D8_03_1_3_Texas Red_003.tif ,3968064,381528,18288,363240,0.04793,0
1486, D8_03_1_3_Texas Red_004.tif ,3968064,360057,24086,335971,0.06689,0
1487, D8_03_1_3_Texas Red_005.tif ,3968064,345270,67298,277972,0.1949,0
1488, D8_03_1_3_Texas Red_006.tif ,3968064,291814,108407,183407,0.3715,0
1489, D8_03_1_3_Texas Red_007.tif ,3968064,217222,104462,112760,0.4809,0
1490, D8_03_1_3_Texas Red_008.tif ,3968064,208040,112007,96033,0.5384,0
1491, D8_03_1_3_Texas Red_009.tif ,3968064,199819,116070,83749,0.5809,0
1492, D8_03_1_3_Texas Red_010.tif ,3968064,171815,111381,60434,0.6483,0
1493, D8_03_1_3_Texas Red_011.tif ,3968064,161926,114279,47647,0.7057,0
1494, D8_03_1_3_Texas Red_012.tif ,3968064,147408,113143,34265,0.7675,0
1495, D8_03_1_3_Texas Red_013.tif ,3968064,148996,116797,32199,0.7839,0
1496, D8_03_1_4_Texas Red_001.tif ,3968064,303732,16906,286826,0.05566,0
1497, D8_03_1_4_Texas Red_002.tif ,3968064,316336,14927,301409,0.04719,0
1498, D8_03_1_4_Texas Red_003.tif ,3968064,308987,15638,293349,0.05061,0
1499, D8_03_1_4_Texas Red_004.tif ,3968064,311463,17521,293942,0.05625,0
1500, D8_03_1_4_Texas Red_005.tif ,3968064,297258,36770,260488,0.1237,0
1501, D8_03_1_4_Texas Red_006.tif ,3968064,239786,80813,158973,0.337,0
1502, D8_03_1_4_Texas Red_007.tif ,3968064,186337,75816,110521,0.4069,0
1503, D8_03_1_4_Texas Red_008.tif ,3968064,173444,71286,102158,0.411,0
1504, D8_03_1_4_Texas Red_009.tif ,3968064,158198,71023,87175,0.449,0
1505, D8_03_1_4_Texas Red_010.tif ,3968064,153143,78395,74748,0.5119,0
1506, D8_03_1_4_Texas Red_011.tif ,3968064,130535,84740,45795,0.6492,0
1507, D8_03_1_4_Texas Red_012.tif ,3968064,121011,79685,41326,0.6585,0
1508, D8_03_1_4_Texas Red_013.tif ,3968064,122392,84620,37772,0.6914,0
1509, D8_03_1_5_Texas Red_001.tif ,3968064,505356,24673,480683,0.04882,0
1510, D8_03_1_5_Texas Red_002.tif ,3968064,524351,23703,500648,0.0452,0
1511, D8_03_1_5_Texas Red_003.tif ,3968064,512732,21904,490828,0.04272,0
1512, D8_03_1_5_Texas Red_004.tif ,3968064,501402,44751,456651,0.08925,0
1513, D8_03_1_5_Texas Red_005.tif ,3968064,451370,71048,380322,0.1574,0
1514, D8_03_1_5_Texas Red_006.tif ,3968064,434476,116831,317645,0.2689,0
1515, D8_03_1_5_Texas Red_007.tif ,3968064,378008,146899,231109,0.3886,0
1516, D8_03_1_5_Texas Red_008.tif ,3968064,331621,154353,177268,0.4655,0
1517, D8_03_1_5_Texas Red_009.tif ,3968064,302796,167048,135748,0.5517,0
1518, D8_03_1_5_Texas Red_010.tif ,3968064,281795,171366,110429,0.6081,0
1519, D8_03_1_5_Texas Red_011.tif ,3968064,275262,174474,100788,0.6338,0
1520, D8_03_1_5_Texas Red_012.tif ,3968064,266916,179374,87542,0.672,0
1521, D8_03_1_5_Texas Red_013.tif ,3968064,267626,187327,80299,0.7,0
1522, D8_03_1_6_Texas Red_001.tif ,3968064,529630,21726,507904,0.04102,0
1523, D8_03_1_6_Texas Red_002.tif ,3968064,527617,23609,504008,0.04475,0
1524, D8_03_1_6_Texas Red_003.tif ,3968064,554599,21415,533184,0.03861,0
1525, D8_03_1_6_Texas Red_004.tif ,3968064,573403,53252,520151,0.09287,0
1526, D8_03_1_6_Texas Red_005.tif ,3968064,523954,92493,431461,0.1765,0
1527, D8_03_1_6_Texas Red_006.tif ,3968064,463493,150952,312541,0.3257,0
1528, D8_03_1_6_Texas Red_007.tif ,3968064,392318,163643,228675,0.4171,0
1529, D8_03_1_6_Texas Red_008.tif ,3968064,324562,181539,143023,0.5593,0
1530, D8_03_1_6_Texas Red_009.tif ,3968064,306169,193189,112980,0.631,0
1531, D8_03_1_6_Texas Red_010.tif ,3968064,287607,192595,95012,0.6696,0
1532, D8_03_1_6_Texas Red_011.tif ,3968064,282751,199291,83460,0.7048,0
1533, D8_03_1_6_Texas Red_012.tif ,3968064,255421,194894,60527,0.763,0
1534, D8_03_1_6_Texas Red_013.tif ,3968064,257533,204977,52556,0.7959,0
1535, D8_03_1_7_Texas Red_001.tif ,3968064,513170,23886,489284,0.04655,0
1536, D8_03_1_7_Texas Red_002.tif ,3968064,489221,24590,464631,0.05026,0
1537, D8_03_1_7_Texas Red_003.tif ,3968064,493758,21957,471801,0.04447,0
1538, D8_03_1_7_Texas Red_004.tif ,3968064,504085,45598,458487,0.09046,0
1539, D8_03_1_7_Texas Red_005.tif ,3968064,477549,85986,391563,0.1801,0
1540, D8_03_1_7_Texas Red_006.tif ,3968064,404714,148518,256196,0.367,0
1541, D8_03_1_7_Texas Red_007.tif ,3968064,309131,160877,148254,0.5204,0
1542, D8_03_1_7_Texas Red_008.tif ,3968064,289614,173023,116591,0.5974,0
1543, D8_03_1_7_Texas Red_009.tif ,3968064,257137,174674,82463,0.6793,0
1544, D8_03_1_7_Texas Red_010.tif ,3968064,259244,186834,72410,0.7207,0
1545, D8_03_1_7_Texas Red_011.tif ,3968064,244259,191271,52988,0.7831,0
1546, D8_03_1_7_Texas Red_012.tif ,3968064,228050,191961,36089,0.8417,0
1547, D8_03_1_7_Texas Red_013.tif ,3968064,228096,193563,34533,0.8486,0
1548, D8_03_1_8_Texas Red_001.tif ,3968064,423635,20693,402942,0.04885,0
1549, D8_03_1_8_Texas Red_002.tif ,3968064,462092,17248,444844,0.03733,0
1550, D8_03_1_8_Texas Red_003.tif ,3968064,458642,17282,441360,0.03768,0
1551, D8_03_1_8_Texas Red_004.tif ,3968064,421947,40742,381205,0.09656,0
1552, D8_03_1_8_Texas Red_005.tif ,3968064,418154,67352,350802,0.1611,0
1553, D8_03_1_8_Texas Red_006.tif ,3968064,365395,102659,262736,0.281,0
1554, D8_03_1_8_Texas Red_007.tif ,3968064,298766,122217,176549,0.4091,0
1555, D8_03_1_8_Texas Red_008.tif ,3968064,280717,139898,140819,0.4984,0
1556, D8_03_1_8_Texas Red_009.tif ,3968064,233111,141533,91578,0.6071,0
1557, D8_03_1_8_Texas Red_010.tif ,3968064,221057,154180,66877,0.6975,0
1558, D8_03_1_8_Texas Red_011.tif ,3968064,212904,154748,58156,0.7268,0
1559, D8_03_1_8_Texas Red_012.tif ,3968064,214508,160592,53916,0.7487,0
1560, D8_03_1_8_Texas Red_013.tif ,3968064,208733,155073,53660,0.7429,0
1561, D9_03_1_1_Texas Red_001.tif ,3968064,386006,27311,358695,0.07075,0
1562, D9_03_1_1_Texas Red_002.tif ,3968064,407995,25886,382109,0.06345,0
1563, D9_03_1_1_Texas Red_003.tif ,3968064,410996,23876,387120,0.05809,0
1564, D9_03_1_1_Texas Red_004.tif ,3968064,410844,41475,369369,0.101,0
1565, D9_03_1_1_Texas Red_005.tif ,3968064,392274,75190,317084,0.1917,0
1566, D9_03_1_1_Texas Red_006.tif ,3968064,343827,115750,228077,0.3367,0
1567, D9_03_1_1_Texas Red_007.tif ,3968064,262384,130359,132025,0.4968,0
1568, D9_03_1_1_Texas Red_008.tif ,3968064,220023,144468,75555,0.6566,0
1569, D9_03_1_1_Texas Red_009.tif ,3968064,206979,156291,50688,0.7551,0
1570, D9_03_1_1_Texas Red_010.tif ,3968064,204471,166529,37942,0.8144,0
1571, D9_03_1_1_Texas Red_011.tif ,3968064,194882,165470,29412,0.8491,0
1572, D9_03_1_1_Texas Red_012.tif ,3968064,195825,165875,29950,0.8471,0
1573, D9_03_1_1_Texas Red_013.tif ,3968064,188042,164747,23295,0.8761,0
1574, D9_03_1_2_Texas Red_001.tif ,3968064,430275,27976,402299,0.06502,0
1575, D9_03_1_2_Texas Red_002.tif ,3968064,407471,29216,378255,0.0717,0
1576, D9_03_1_2_Texas Red_003.tif ,3968064,442932,26758,416174,0.06041,0
1577, D9_03_1_2_Texas Red_004.tif ,3968064,433980,38103,395877,0.0878,0
1578, D9_03_1_2_Texas Red_005.tif ,3968064,428362,71228,357134,0.1663,0
1579, D9_03_1_2_Texas Red_006.tif ,3968064,373714,96882,276832,0.2592,0
1580, D9_03_1_2_Texas Red_007.tif ,3968064,328542,124205,204337,0.378,0
1581, D9_03_1_2_Texas Red_008.tif ,3968064,280068,143181,136887,0.5112,0
1582, D9_03_1_2_Texas Red_009.tif ,3968064,215214,147307,67907,0.6845,0
1583, D9_03_1_2_Texas Red_010.tif ,3968064,219412,156476,62936,0.7132,0
1584, D9_03_1_2_Texas Red_011.tif ,3968064,209413,155749,53664,0.7437,0
1585, D9_03_1_2_Texas Red_012.tif ,3968064,216375,162080,54295,0.7491,0
1586, D9_03_1_2_Texas Red_013.tif ,3968064,202987,156114,46873,0.7691,0
1587, D9_03_1_3_Texas Red_001.tif ,3968064,358072,23767,334305,0.06637,0
1588, D9_03_1_3_Texas Red_002.tif ,3968064,380724,22066,358658,0.05796,0
1589, D9_03_1_3_Texas Red_003.tif ,3968064,383091,22639,360452,0.0591,0
1590, D9_03_1_3_Texas Red_004.tif ,3968064,376256,32638,343618,0.08674,0
1591, D9_03_1_3_Texas Red_005.tif ,3968064,371750,52920,318830,0.1424,0
1592, D9_03_1_3_Texas Red_006.tif ,3968064,321338,81101,240237,0.2524,0
1593, D9_03_1_3_Texas Red_007.tif ,3968064,281277,103209,178068,0.3669,0
1594, D9_03_1_3_Texas Red_008.tif ,3968064,252605,121047,131558,0.4792,0
1595, D9_03_1_3_Texas Red_009.tif ,3968064,205645,133329,72316,0.6483,0
1596, D9_03_1_3_Texas Red_010.tif ,3968064,196890,141170,55720,0.717,0
1597, D9_03_1_3_Texas Red_011.tif ,3968064,200751,151908,48843,0.7567,0
1598, D9_03_1_3_Texas Red_012.tif ,3968064,187256,145467,41789,0.7768,0
1599, D9_03_1_3_Texas Red_013.tif ,3968064,193091,149291,43800,0.7732,0
1600, D9_03_1_4_Texas Red_001.tif ,3968064,327894,23709,304185,0.07231,0
1601, D9_03_1_4_Texas Red_002.tif ,3968064,321314,22116,299198,0.06883,0
1602, D9_03_1_4_Texas Red_003.tif ,3968064,319227,18938,300289,0.05932,0
1603, D9_03_1_4_Texas Red_004.tif ,3968064,321312,28693,292619,0.0893,0
1604, D9_03_1_4_Texas Red_005.tif ,3968064,326266,52843,273423,0.162,0
1605, D9_03_1_4_Texas Red_006.tif ,3968064,274286,69502,204784,0.2534,0
1606, D9_03_1_4_Texas Red_007.tif ,3968064,235442,80424,155018,0.3416,0
1607, D9_03_1_4_Texas Red_008.tif ,3968064,219993,92400,127593,0.42,0
1608, D9_03_1_4_Texas Red_009.tif ,3968064,179696,99057,80639,0.5512,0
1609, D9_03_1_4_Texas Red_010.tif ,3968064,159430,100641,58789,0.6313,0
1610, D9_03_1_4_Texas Red_011.tif ,3968064,153478,100534,52944,0.655,0
1611, D9_03_1_4_Texas Red_012.tif ,3968064,146723,100678,46045,0.6862,0
1612, D9_03_1_4_Texas Red_013.tif ,3968064,143162,100653,42509,0.7031,0
1613, D9_03_1_5_Texas Red_001.tif ,3968064,513233,37655,475578,0.07337,0
1614, D9_03_1_5_Texas Red_002.tif ,3968064,469822,38903,430919,0.0828,0
1615, D9_03_1_5_Texas Red_003.tif ,3968064,386271,36115,350156,0.0935,0
1616, D9_03_1_5_Texas Red_004.tif ,3968064,330772,57369,273403,0.1734,0
1617, D9_03_1_5_Texas Red_005.tif ,3968064,285730,82005,203725,0.287,0
1618, D9_03_1_5_Texas Red_006.tif ,3968064,239517,111678,127839,0.4663,0
1619, D9_03_1_5_Texas Red_007.tif ,3968064,208805,128825,79980,0.617,0
1620, D9_03_1_5_Texas Red_008.tif ,3968064,169007,118461,50546,0.7009,0
1621, D9_03_1_5_Texas Red_009.tif ,3968064,150822,121233,29589,0.8038,0
1622, D9_03_1_5_Texas Red_010.tif ,3968064,164486,143720,20766,0.8738,0
1623, D9_03_1_5_Texas Red_011.tif ,3968064,155848,141176,14672,0.9059,0
1624, D9_03_1_5_Texas Red_012.tif ,3968064,153588,142544,11044,0.9281,0
1625, D9_03_1_5_Texas Red_013.tif ,3968064,141123,130833,10290,0.9271,0
1626, D9_03_1_6_Texas Red_001.tif ,3968064,518121,36339,481782,0.07014,0
1627, D9_03_1_6_Texas Red_002.tif ,3968064,464049,36134,427915,0.07787,0
1628, D9_03_1_6_Texas Red_003.tif ,3968064,394315,33285,361030,0.08441,0
1629, D9_03_1_6_Texas Red_004.tif ,3968064,298552,48220,250332,0.1615,0
1630, D9_03_1_6_Texas Red_005.tif ,3968064,257443,70093,187350,0.2723,0
1631, D9_03_1_6_Texas Red_006.tif ,3968064,193405,82415,110990,0.4261,0
1632, D9_03_1_6_Texas Red_007.tif ,3968064,182901,102277,80624,0.5592,0
1633, D9_03_1_6_Texas Red_008.tif ,3968064,170534,112704,57830,0.6609,0
1634, D9_03_1_6_Texas Red_009.tif ,3968064,156272,122394,33878,0.7832,0
1635, D9_03_1_6_Texas Red_010.tif ,3968064,138150,119181,18969,0.8627,0
1636, D9_03_1_6_Texas Red_011.tif ,3968064,146561,127855,18706,0.8724,0
1637, D9_03_1_6_Texas Red_012.tif ,3968064,155200,136373,18827,0.8787,0
1638, D9_03_1_6_Texas Red_013.tif ,3968064,147387,133640,13747,0.9067,0
1639, D9_03_1_7_Texas Red_001.tif ,3968064,517755,32797,484958,0.06334,0
1640, D9_03_1_7_Texas Red_002.tif ,3968064,475726,28322,447404,0.05953,0
1641, D9_03_1_7_Texas Red_003.tif ,3968064,478047,30241,447806,0.06326,0
1642, D9_03_1_7_Texas Red_004.tif ,3968064,415008,43700,371308,0.1053,0
1643, D9_03_1_7_Texas Red_005.tif ,3968064,370225,63595,306630,0.1718,0
1644, D9_03_1_7_Texas Red_006.tif ,3968064,357238,93231,264007,0.261,0
1645, D9_03_1_7_Texas Red_007.tif ,3968064,303881,122847,181034,0.4043,0
1646, D9_03_1_7_Texas Red_008.tif ,3968064,253283,135918,117365,0.5366,0
1647, D9_03_1_7_Texas Red_009.tif ,3968064,214804,142579,72225,0.6638,0
1648, D9_03_1_7_Texas Red_010.tif ,3968064,199063,154246,44817,0.7749,0
1649, D9_03_1_7_Texas Red_011.tif ,3968064,192508,151633,40875,0.7877,0
1650, D9_03_1_7_Texas Red_012.tif ,3968064,197550,161793,35757,0.819,0
1651, D9_03_1_7_Texas Red_013.tif ,3968064,198427,160642,37785,0.8096,0
1652, D9_03_1_8_Texas Red_001.tif ,3968064,419642,26591,393051,0.06337,0
1653, D9_03_1_8_Texas Red_002.tif ,3968064,407153,26492,380661,0.06507,0
1654, D9_03_1_8_Texas Red_003.tif ,3968064,419431,25578,393853,0.06098,0
1655, D9_03_1_8_Texas Red_004.tif ,3968064,414415,37292,377123,0.08999,0
1656, D9_03_1_8_Texas Red_005.tif ,3968064,399953,65905,334048,0.1648,0
1657, D9_03_1_8_Texas Red_006.tif ,3968064,358499,87055,271444,0.2428,0
1658, D9_03_1_8_Texas Red_007.tif ,3968064,329878,103612,226266,0.3141,0
1659, D9_03_1_8_Texas Red_008.tif ,3968064,307287,116448,190839,0.379,0
1660, D9_03_1_8_Texas Red_009.tif ,3968064,271405,123425,147980,0.4548,0
1661, D9_03_1_8_Texas Red_010.tif ,3968064,246389,115128,131261,0.4673,0
1662, D9_03_1_8_Texas Red_011.tif ,3968064,245388,117229,128159,0.4777,0
1663, D9_03_1_8_Texas Red_012.tif ,3968064,244880,119732,125148,0.4889,0
1664, D9_03_1_8_Texas Red_013.tif ,3968064,240615,116871,123744,0.4857,0
