R:\DanSummers Files\Cytation\200922_183036_DWS121 bclxl NGF addback timecourse\200922_183036_Plate 1\,,,,,,,
n,filename,Area analyzed, TAA, FAA, IAA, degeneration index, obj
1411, D11_03_1_5_Texas Red_007.tif ,3968064,20925,14171,6754,0.6772,0
1412, D11_03_1_5_Texas Red_008.tif ,3968064,20401,14169,6232,0.6945,0
1413, D11_03_1_5_Texas Red_009.tif ,3968064,23208,17014,6194,0.7331,0
1414, D11_03_1_5_Texas Red_010.tif ,3968064,24929,16968,7961,0.6807,0
1415, D11_03_1_5_Texas Red_011.tif ,3968064,32946,19254,13692,0.5844,0
1416, D11_03_1_5_Texas Red_012.tif ,3968064,30702,16199,14503,0.5276,0
1417, D11_03_1_5_Texas Red_013.tif ,3968064,34779,16529,18250,0.4753,0
1418, D11_03_1_6_Texas Red_001.tif ,3968064,240754,21692,219062,0.0901,0
1419, D11_03_1_6_Texas Red_002.tif ,3968064,49846,11377,38469,0.2282,0
1420, D11_03_1_6_Texas Red_003.tif ,3968064,59149,13542,45607,0.2289,0
1421, D11_03_1_6_Texas Red_004.tif ,3968064,33201,15672,17529,0.472,0
1422, D11_03_1_6_Texas Red_005.tif ,3968064,27247,19942,7305,0.7319,0
1423, D11_03_1_6_Texas Red_006.tif ,3968064,14025,12977,1048,0.9253,0
1424, D11_03_1_6_Texas Red_007.tif ,3968064,13276,13206,70,0.9947,0
1425, D11_03_1_6_Texas Red_008.tif ,3968064,8763,8658,105,0.988,0
1426, D11_03_1_6_Texas Red_009.tif ,3968064,6713,6713,0,1,0
1427, D11_03_1_6_Texas Red_010.tif ,3968064,6710,6710,0,1,0
1428, D11_03_1_6_Texas Red_011.tif ,3968064,13476,12779,697,0.9483,0
1429, D11_03_1_6_Texas Red_012.tif ,3968064,13606,13205,401,0.9705,0
1430, D11_03_1_6_Texas Red_013.tif ,3968064,7610,7467,143,0.9812,0
1431, D11_03_1_7_Texas Red_001.tif ,3968064,77731,19158,58573,0.2465,0
1432, D11_03_1_7_Texas Red_002.tif ,3968064,68815,16017,52798,0.2328,0
1433, D11_03_1_7_Texas Red_003.tif ,3968064,75021,18417,56604,0.2455,0
1434, D11_03_1_7_Texas Red_004.tif ,3968064,75830,25084,50746,0.3308,0
1435, D11_03_1_7_Texas Red_005.tif ,3968064,90263,50496,39767,0.5594,0
1436, D11_03_1_7_Texas Red_006.tif ,3968064,29613,23368,6245,0.7891,0
1437, D11_03_1_7_Texas Red_007.tif ,3968064,48592,38039,10553,0.7828,0
1438, D11_03_1_7_Texas Red_008.tif ,3968064,13407,10601,2806,0.7907,0
1439, D11_03_1_7_Texas Red_009.tif ,3968064,29352,24424,4928,0.8321,0
1440, D11_03_1_7_Texas Red_010.tif ,3968064,11175,8765,2410,0.7843,0
1441, D11_03_1_7_Texas Red_011.tif ,3968064,26659,20232,6427,0.7589,0
1442, D11_03_1_7_Texas Red_012.tif ,3968064,30565,22371,8194,0.7319,0
1443, D11_03_1_7_Texas Red_013.tif ,3968064,6192,4997,1195,0.807,0
1444, D11_03_1_8_Texas Red_001.tif ,3968064,6049,2177,3872,0.3599,0
1445, D11_03_1_8_Texas Red_002.tif ,3968064,5333,1770,3563,0.3319,0
1446, D11_03_1_8_Texas Red_003.tif ,3968064,8100,2516,5584,0.3106,0
1447, D11_03_1_8_Texas Red_004.tif ,3968064,5486,2048,3438,0.3733,0
1448, D11_03_1_8_Texas Red_005.tif ,3968064,5953,4179,1774,0.702,0
1449, D11_03_1_8_Texas Red_006.tif ,3968064,6115,3663,2452,0.599,0
1450, D11_03_1_8_Texas Red_007.tif ,3968064,3066,2442,624,0.7965,0
1451, D11_03_1_8_Texas Red_008.tif ,3968064,2296,1644,652,0.716,0
1452, D11_03_1_8_Texas Red_009.tif ,3968064,2886,1695,1191,0.5873,0
1453, D11_03_1_8_Texas Red_010.tif ,3968064,10538,4781,5757,0.4537,0
1454, D11_03_1_8_Texas Red_011.tif ,3968064,6301,3357,2944,0.5328,0
1455, D11_03_1_8_Texas Red_012.tif ,3968064,5063,2998,2065,0.5921,0
1456, D11_03_1_8_Texas Red_013.tif ,3968064,6736,3056,3680,0.4537,0
1457, D8_03_1_1_Texas Red_001.tif ,3968064,352435,19869,332566,0.05638,0
1458, D8_03_1_1_Texas Red_002.tif ,3968064,333331,21921,311410,0.06576,0
1459, D8_03_1_1_Texas Red_003.tif ,3968064,368355,17552,350803,0.04765,0
1460, D8_03_1_1_Texas Red_004.tif ,3968064,343694,27992,315702,0.08144,0
1461, D8_03_1_1_Texas Red_005.tif ,3968064,341932,46189,295743,0.1351,0
1462, D8_03_1_1_Texas Red_006.tif ,3968064,326627,72399,254228,0.2217,0
1463, D8_03_1_1_Texas Red_007.tif ,3968064,275273,96291,178982,0.3498,0
1464, D8_03_1_1_Texas Red_008.tif ,3968064,230914,98641,132273,0.4272,0
1465, D8_03_1_1_Texas Red_009.tif ,3968064,214737,103269,111468,0.4809,0
1466, D8_03_1_1_Texas Red_010.tif ,3968064,193172,102676,90496,0.5315,0
1467, D8_03_1_1_Texas Red_011.tif ,3968064,178973,109726,69247,0.6131,0
1468, D8_03_1_1_Texas Red_012.tif ,3968064,170826,110904,59922,0.6492,0
1469, D8_03_1_1_Texas Red_013.tif ,3968064,165330,108408,56922,0.6557,0
1470, D8_03_1_2_Texas Red_001.tif ,3968064,409547,23820,385727,0.05816,0
1471, D8_03_1_2_Texas Red_002.tif ,3968064,437156,17764,419392,0.04064,0
1472, D8_03_1_2_Texas Red_003.tif ,3968064,433417,19502,413915,0.045,0
1473, D8_03_1_2_Texas Red_004.tif ,3968064,423206,26548,396658,0.06273,0
1474, D8_03_1_2_Texas Red_005.tif ,3968064,397669,53318,344351,0.1341,0
1475, D8_03_1_2_Texas Red_006.tif ,3968064,352010,93074,258936,0.2644,0
